mission_name,difficulty,hyperparams,seed,success,total_reward,steps_taken,hearts_assembled,hearts_deposited,final_energy,final_carbon,final_oxygen,final_germanium,final_silicon,efficiency,error
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,default,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,default,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,default,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,default,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,easy,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,easy,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,easy,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.OxygenBottleneck'>,easy,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,default,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,default,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,default,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,default,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,easy,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,easy,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,easy,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.GermaniumRush'>,easy,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,default,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,default,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,default,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,default,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,easy,baseline,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,easy,baseline,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,easy,conservative,1,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
<class 'cogames.cogs_vs_clips.eval_missions.SiliconWorkbench'>,easy,conservative,2,False,0,0,0,0,0,0,0,0,0,0,_EvalMissionBase.instantiate() missing 2 required positional arguments: 'map_builder' and 'num_cogs'
