mission_name,difficulty,hyperparams,seed,success,total_reward,steps_taken,hearts_assembled,hearts_deposited,final_energy,final_carbon,final_oxygen,final_germanium,final_silicon,efficiency,error
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,baseline,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,baseline,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,baseline,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,conservative,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,conservative,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,conservative,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,aggressive,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,aggressive,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,aggressive,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,default,patient,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
