,P12,P16,P20,P22,P30,P32,P36,P40,P44,P50,P66,P100,P200
P12,41.0,30.0,24.0,22.0,16.0,15.0,13.0,12.0,11.0,9.0,7.0,4.0,2.0
P16,31.0,31.0,24.0,22.0,16.0,15.0,13.0,12.0,11.0,9.0,7.0,4.0,2.0
P20,25.0,25.0,25.0,22.0,16.0,15.0,13.0,12.0,11.0,10.0,7.0,5.0,2.0
P22,22.0,22.0,22.0,22.0,16.0,15.0,13.0,12.0,11.0,9.0,7.0,4.0,2.0
P30,16.0,16.0,16.0,16.0,16.0,15.0,13.0,12.0,10.0,9.0,7.0,4.0,2.0
P32,15.0,15.0,15.0,15.0,15.0,15.0,13.0,12.0,10.0,9.0,7.0,4.0,2.0
P36,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,10.0,9.0,7.0,4.0,2.0
P40,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,9.0,7.0,4.0,2.0
P44,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,7.0,4.0,2.0
P50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,5.0,2.0
P66,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0
P100,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
P200,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
