,P12,P16,P20,P22,P30,P32,P36,P40,P44,P50,P66,P100,P200
P12,100.0,96.7741935483871,96.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0
P16,75.60975609756098,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0
P20,60.97560975609756,80.64516129032258,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P22,53.65853658536586,70.96774193548387,88.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0
P30,39.02439024390244,51.61290322580645,64.0,72.72727272727273,100.0,100.0,100.0,100.0,90.9090909090909,90.0,100.0,80.0,100.0
P32,36.58536585365854,48.38709677419355,60.0,68.18181818181817,93.75,100.0,100.0,100.0,90.9090909090909,90.0,100.0,80.0,100.0
P36,31.70731707317073,41.935483870967744,52.0,59.09090909090909,81.25,86.66666666666667,100.0,91.66666666666666,90.9090909090909,90.0,100.0,80.0,100.0
P40,29.268292682926827,38.70967741935484,48.0,54.54545454545454,75.0,80.0,92.3076923076923,100.0,90.9090909090909,90.0,100.0,80.0,100.0
P44,26.82926829268293,35.483870967741936,44.0,50.0,68.75,73.33333333333333,84.61538461538461,91.66666666666666,100.0,90.0,100.0,80.0,100.0
P50,24.390243902439025,32.25806451612903,40.0,45.45454545454545,62.5,66.66666666666666,76.92307692307693,83.33333333333334,90.9090909090909,100.0,100.0,100.0,100.0
P66,17.073170731707318,22.58064516129032,28.000000000000004,31.818181818181817,43.75,46.666666666666664,53.84615384615385,58.333333333333336,63.63636363636363,70.0,100.0,80.0,100.0
P100,12.195121951219512,16.129032258064516,20.0,22.727272727272727,31.25,33.33333333333333,38.46153846153847,41.66666666666667,45.45454545454545,50.0,71.42857142857143,100.0,100.0
P200,4.878048780487805,6.451612903225806,8.0,9.090909090909092,12.5,13.333333333333334,15.384615384615385,16.666666666666664,18.181818181818183,20.0,28.57142857142857,40.0,100.0
