,P12,P16,P20,P22,P30,P32,P36,P40,P44,P50,P66,P100,P200
P12,100.0,96.7741935483871,96.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0
P16,51.21951219512195,100.0,72.0,72.72727272727273,100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0
P20,39.02439024390244,61.29032258064516,100.0,54.54545454545454,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P22,34.146341463414636,45.16129032258064,56.00000000000001,100.0,75.0,86.66666666666667,92.3076923076923,100.0,100.0,90.0,100.0,80.0,100.0
P30,39.02439024390244,32.25806451612903,64.0,40.909090909090914,100.0,60.0,76.92307692307693,100.0,81.81818181818183,90.0,100.0,80.0,100.0
P32,24.390243902439025,48.38709677419355,36.0,36.36363636363637,50.0,100.0,53.84615384615385,75.0,72.72727272727273,70.0,100.0,80.0,100.0
P36,31.70731707317073,32.25806451612903,28.000000000000004,31.818181818181817,50.0,60.0,100.0,50.0,54.54545454545454,70.0,100.0,80.0,100.0
P40,19.51219512195122,38.70967741935484,48.0,27.27272727272727,50.0,60.0,61.53846153846154,100.0,54.54545454545454,60.0,100.0,80.0,100.0
P44,17.073170731707318,25.806451612903224,28.000000000000004,50.0,37.5,46.666666666666664,53.84615384615385,58.333333333333336,100.0,40.0,100.0,80.0,100.0
P50,17.073170731707318,22.58064516129032,40.0,22.727272727272727,37.5,33.33333333333333,38.46153846153847,66.66666666666666,54.54545454545454,100.0,57.14285714285714,100.0,100.0
P66,17.073170731707318,12.903225806451612,16.0,31.818181818181817,31.25,46.666666666666664,30.76923076923077,16.666666666666664,63.63636363636363,30.0,100.0,40.0,100.0
P100,7.317073170731707,12.903225806451612,20.0,9.090909090909092,18.75,26.666666666666668,15.384615384615385,41.66666666666667,27.27272727272727,50.0,28.57142857142857,100.0,100.0
P200,2.4390243902439024,6.451612903225806,8.0,9.090909090909092,6.25,13.333333333333334,7.6923076923076925,16.666666666666664,9.090909090909092,20.0,28.57142857142857,40.0,100.0
