1, "😀", "grinning face"
2, "😃", "grinning face with big eyes"
3, "😄", "grinning face with smiling eyes"
4, "😁", "beaming face with smiling eyes"
5, "😆", "grinning squinting face"
6, "😅", "grinning face with sweat"
7, "🤣", "rolling on the floor laughing"
8, "😂", "face with tears of joy"
9, "🙂", "slightly smiling face"
10, "🙃", "upside-down face"
11, "🫠", "melting face"
12, "😉", "winking face"
13, "😊", "smiling face with smiling eyes"
14, "😇", "smiling face with halo"
15, "🥰", "smiling face with hearts"
16, "😍", "smiling face with heart-eyes"
17, "🤩", "star-struck"
18, "😘", "face blowing a kiss"
19, "😗", "kissing face"
20, "☺", "smiling face"
21, "😚", "kissing face with closed eyes"
22, "😙", "kissing face with smiling eyes"
23, "🥲", "smiling face with tear"
24, "😋", "face savoring food"
25, "😛", "face with tongue"
26, "😜", "winking face with tongue"
27, "🤪", "zany face"
28, "😝", "squinting face with tongue"
29, "🤑", "money-mouth face"
30, "🤗", "smiling face with open hands"
31, "🤭", "face with hand over mouth"
32, "🫢", "face with open eyes and hand over mouth"
33, "🫣", "face with peeking eye"
34, "🤫", "shushing face"
35, "🤔", "thinking face"
36, "🫡", "saluting face"
37, "🤐", "zipper-mouth face"
38, "🤨", "face with raised eyebrow"
39, "😐", "neutral face"
40, "😑", "expressionless face"
41, "😶", "face without mouth"
42, "🫥", "dotted line face"
43, "😶‍🌫️", "face in clouds"
44, "😏", "smirking face"
45, "😒", "unamused face"
46, "🙄", "face with rolling eyes"
47, "😬", "grimacing face"
48, "😮‍💨", "face exhaling"
49, "🤥", "lying face"
50, "🫨", "shaking face"
51, "🙂‍↔️", "head shaking horizontally"
52, "🙂‍↕️", "head shaking vertically"
53, "😌", "relieved face"
54, "😔", "pensive face"
55, "😪", "sleepy face"
56, "🤤", "drooling face"
57, "😴", "sleeping face"
58, "🫩", "face with bags under eyes"
59, "😷", "face with medical mask"
60, "🤒", "face with thermometer"
61, "🤕", "face with head-bandage"
62, "🤢", "nauseated face"
63, "🤮", "face vomiting"
64, "🤧", "sneezing face"
65, "🥵", "hot face"
66, "🥶", "cold face"
67, "🥴", "woozy face"
68, "😵", "face with crossed-out eyes"
69, "😵‍💫", "face with spiral eyes"
70, "🤯", "exploding head"
71, "🤠", "cowboy hat face"
72, "🥳", "partying face"
73, "🥸", "disguised face"
74, "😎", "smiling face with sunglasses"
75, "🤓", "nerd face"
76, "🧐", "face with monocle"
77, "😕", "confused face"
78, "🫤", "face with diagonal mouth"
79, "😟", "worried face"
80, "🙁", "slightly frowning face"
81, "☹", "frowning face"
82, "😮", "face with open mouth"
83, "😯", "hushed face"
84, "😲", "astonished face"
85, "😳", "flushed face"
86, "🥺", "pleading face"
87, "🥹", "face holding back tears"
88, "😦", "frowning face with open mouth"
89, "😧", "anguished face"
90, "😨", "fearful face"
91, "😰", "anxious face with sweat"
92, "😥", "sad but relieved face"
93, "😢", "crying face"
94, "😭", "loudly crying face"
95, "😱", "face screaming in fear"
96, "😖", "confounded face"
97, "😣", "persevering face"
98, "😞", "disappointed face"
99, "😓", "downcast face with sweat"
100, "😩", "weary face"
101, "😫", "tired face"
102, "🥱", "yawning face"
103, "😤", "face with steam from nose"
104, "😡", "enraged face"
105, "😠", "angry face"
106, "🤬", "face with symbols on mouth"
107, "😈", "smiling face with horns"
108, "👿", "angry face with horns"
109, "💀", "skull"
110, "☠", "skull and crossbones"
111, "💩", "pile of poo"
112, "🤡", "clown face"
113, "👹", "ogre"
114, "👺", "goblin"
115, "👻", "ghost"
116, "👽", "alien"
117, "👾", "alien monster"
118, "🤖", "robot"
119, "😺", "grinning cat"
120, "😸", "grinning cat with smiling eyes"
121, "😹", "cat with tears of joy"
122, "😻", "smiling cat with heart-eyes"
123, "😼", "cat with wry smile"
124, "😽", "kissing cat"
125, "🙀", "weary cat"
126, "😿", "crying cat"
127, "😾", "pouting cat"
128, "🙈", "see-no-evil monkey"
129, "🙉", "hear-no-evil monkey"
130, "🙊", "speak-no-evil monkey"
131, "💌", "love letter"
132, "💘", "heart with arrow"
133, "💝", "heart with ribbon"
134, "💖", "sparkling heart"
135, "💗", "growing heart"
136, "💓", "beating heart"
137, "💞", "revolving hearts"
138, "💕", "two hearts"
139, "💟", "heart decoration"
140, "❣", "heart exclamation"
141, "💔", "broken heart"
142, "❤️‍🔥", "heart on fire"
143, "❤️‍🩹", "mending heart"
144, "❤", "red heart"
145, "🩷", "pink heart"
146, "🧡", "orange heart"
147, "💛", "yellow heart"
148, "💚", "green heart"
149, "💙", "blue heart"
150, "🩵", "light blue heart"
151, "💜", "purple heart"
152, "🤎", "brown heart"
153, "🖤", "black heart"
154, "🩶", "grey heart"
155, "🤍", "white heart"
156, "💋", "kiss mark"
157, "💯", "hundred points"
158, "💢", "anger symbol"
159, "💥", "collision"
160, "💫", "dizzy"
161, "💦", "sweat droplets"
162, "💨", "dashing away"
163, "🕳", "hole"
164, "💬", "speech balloon"
165, "👁️‍🗨️", "eye in speech bubble"
166, "🗨", "left speech bubble"
167, "🗯", "right anger bubble"
168, "💭", "thought balloon"
169, "💤", "ZZZ"
170, "👋", "waving hand"
171, "🤚", "raised back of hand"
172, "🖐", "hand with fingers splayed"
173, "✋", "raised hand"
174, "🖖", "vulcan salute"
175, "🫱", "rightwards hand"
176, "🫲", "leftwards hand"
177, "🫳", "palm down hand"
178, "🫴", "palm up hand"
179, "🫷", "leftwards pushing hand"
180, "🫸", "rightwards pushing hand"
181, "👌", "OK hand"
182, "🤌", "pinched fingers"
183, "🤏", "pinching hand"
184, "✌", "victory hand"
185, "🤞", "crossed fingers"
186, "🫰", "hand with index finger and thumb crossed"
187, "🤟", "love-you gesture"
188, "🤘", "sign of the horns"
189, "🤙", "call me hand"
190, "👈", "backhand index pointing left"
191, "👉", "backhand index pointing right"
192, "👆", "backhand index pointing up"
193, "🖕", "middle finger"
194, "👇", "backhand index pointing down"
195, "☝", "index pointing up"
196, "🫵", "index pointing at the viewer"
197, "👍", "thumbs up"
198, "👎", "thumbs down"
199, "✊", "raised fist"
200, "👊", "oncoming fist"
201, "🤛", "left-facing fist"
202, "🤜", "right-facing fist"
203, "👏", "clapping hands"
204, "🙌", "raising hands"
205, "🫶", "heart hands"
206, "👐", "open hands"
207, "🤲", "palms up together"
208, "🤝", "handshake"
209, "🙏", "folded hands"
210, "✍", "writing hand"
211, "💅", "nail polish"
212, "🤳", "selfie"
213, "💪", "flexed biceps"
214, "🦾", "mechanical arm"
215, "🦿", "mechanical leg"
216, "🦵", "leg"
217, "🦶", "foot"
218, "👂", "ear"
219, "🦻", "ear with hearing aid"
220, "👃", "nose"
221, "🧠", "brain"
222, "🫀", "anatomical heart"
223, "🫁", "lungs"
224, "🦷", "tooth"
225, "🦴", "bone"
226, "👀", "eyes"
227, "👁", "eye"
228, "👅", "tongue"
229, "👄", "mouth"
230, "🫦", "biting lip"
231, "👶", "baby"
232, "🧒", "child"
233, "👦", "boy"
234, "👧", "girl"
235, "🧑", "person"
236, "👱", "person: blond hair"
237, "👨", "man"
238, "🧔", "person: beard"
239, "🧔‍♂️", "man: beard"
240, "🧔‍♀️", "woman: beard"
241, "👨‍🦰", "man: red hair"
242, "👨‍🦱", "man: curly hair"
243, "👨‍🦳", "man: white hair"
244, "👨‍🦲", "man: bald"
245, "👩", "woman"
246, "👩‍🦰", "woman: red hair"
247, "🧑‍🦰", "person: red hair"
248, "👩‍🦱", "woman: curly hair"
249, "🧑‍🦱", "person: curly hair"
250, "👩‍🦳", "woman: white hair"
251, "🧑‍🦳", "person: white hair"
252, "👩‍🦲", "woman: bald"
253, "🧑‍🦲", "person: bald"
254, "👱‍♀️", "woman: blond hair"
255, "👱‍♂️", "man: blond hair"
256, "🧓", "older person"
257, "👴", "old man"
258, "👵", "old woman"
259, "🙍", "person frowning"
260, "🙍‍♂️", "man frowning"
261, "🙍‍♀️", "woman frowning"
262, "🙎", "person pouting"
263, "🙎‍♂️", "man pouting"
264, "🙎‍♀️", "woman pouting"
265, "🙅", "person gesturing NO"
266, "🙅‍♂️", "man gesturing NO"
267, "🙅‍♀️", "woman gesturing NO"
268, "🙆", "person gesturing OK"
269, "🙆‍♂️", "man gesturing OK"
270, "🙆‍♀️", "woman gesturing OK"
271, "💁", "person tipping hand"
272, "💁‍♂️", "man tipping hand"
273, "💁‍♀️", "woman tipping hand"
274, "🙋", "person raising hand"
275, "🙋‍♂️", "man raising hand"
276, "🙋‍♀️", "woman raising hand"
277, "🧏", "deaf person"
278, "🧏‍♂️", "deaf man"
279, "🧏‍♀️", "deaf woman"
280, "🙇", "person bowing"
281, "🙇‍♂️", "man bowing"
282, "🙇‍♀️", "woman bowing"
283, "🤦", "person facepalming"
284, "🤦‍♂️", "man facepalming"
285, "🤦‍♀️", "woman facepalming"
286, "🤷", "person shrugging"
287, "🤷‍♂️", "man shrugging"
288, "🤷‍♀️", "woman shrugging"
289, "🧑‍⚕️", "health worker"
290, "👨‍⚕️", "man health worker"
291, "👩‍⚕️", "woman health worker"
292, "🧑‍🎓", "student"
293, "👨‍🎓", "man student"
294, "👩‍🎓", "woman student"
295, "🧑‍🏫", "teacher"
296, "👨‍🏫", "man teacher"
297, "👩‍🏫", "woman teacher"
298, "🧑‍⚖️", "judge"
299, "👨‍⚖️", "man judge"
300, "👩‍⚖️", "woman judge"
301, "🧑‍🌾", "farmer"
302, "👨‍🌾", "man farmer"
303, "👩‍🌾", "woman farmer"
304, "🧑‍🍳", "cook"
305, "👨‍🍳", "man cook"
306, "👩‍🍳", "woman cook"
307, "🧑‍🔧", "mechanic"
308, "👨‍🔧", "man mechanic"
309, "👩‍🔧", "woman mechanic"
310, "🧑‍🏭", "factory worker"
311, "👨‍🏭", "man factory worker"
312, "👩‍🏭", "woman factory worker"
313, "🧑‍💼", "office worker"
314, "👨‍💼", "man office worker"
315, "👩‍💼", "woman office worker"
316, "🧑‍🔬", "scientist"
317, "👨‍🔬", "man scientist"
318, "👩‍🔬", "woman scientist"
319, "🧑‍💻", "technologist"
320, "👨‍💻", "man technologist"
321, "👩‍💻", "woman technologist"
322, "🧑‍🎤", "singer"
323, "👨‍🎤", "man singer"
324, "👩‍🎤", "woman singer"
325, "🧑‍🎨", "artist"
326, "👨‍🎨", "man artist"
327, "👩‍🎨", "woman artist"
328, "🧑‍✈️", "pilot"
329, "👨‍✈️", "man pilot"
330, "👩‍✈️", "woman pilot"
331, "🧑‍🚀", "astronaut"
332, "👨‍🚀", "man astronaut"
333, "👩‍🚀", "woman astronaut"
334, "🧑‍🚒", "firefighter"
335, "👨‍🚒", "man firefighter"
336, "👩‍🚒", "woman firefighter"
337, "👮", "police officer"
338, "👮‍♂️", "man police officer"
339, "👮‍♀️", "woman police officer"
340, "🕵", "detective"
341, "🕵️‍♂️", "man detective"
342, "🕵️‍♀️", "woman detective"
343, "💂", "guard"
344, "💂‍♂️", "man guard"
345, "💂‍♀️", "woman guard"
346, "🥷", "ninja"
347, "👷", "construction worker"
348, "👷‍♂️", "man construction worker"
349, "👷‍♀️", "woman construction worker"
350, "🫅", "person with crown"
351, "🤴", "prince"
352, "👸", "princess"
353, "👳", "person wearing turban"
354, "👳‍♂️", "man wearing turban"
355, "👳‍♀️", "woman wearing turban"
356, "👲", "person with skullcap"
357, "🧕", "woman with headscarf"
358, "🤵", "person in tuxedo"
359, "🤵‍♂️", "man in tuxedo"
360, "🤵‍♀️", "woman in tuxedo"
361, "👰", "person with veil"
362, "👰‍♂️", "man with veil"
363, "👰‍♀️", "woman with veil"
364, "🤰", "pregnant woman"
365, "🫃", "pregnant man"
366, "🫄", "pregnant person"
367, "🤱", "breast-feeding"
368, "👩‍🍼", "woman feeding baby"
369, "👨‍🍼", "man feeding baby"
370, "🧑‍🍼", "person feeding baby"
371, "👼", "baby angel"
372, "🎅", "Santa Claus"
373, "🤶", "Mrs. Claus"
374, "🧑‍🎄", "Mx Claus"
375, "🦸", "superhero"
376, "🦸‍♂️", "man superhero"
377, "🦸‍♀️", "woman superhero"
378, "🦹", "supervillain"
379, "🦹‍♂️", "man supervillain"
380, "🦹‍♀️", "woman supervillain"
381, "🧙", "mage"
382, "🧙‍♂️", "man mage"
383, "🧙‍♀️", "woman mage"
384, "🧚", "fairy"
385, "🧚‍♂️", "man fairy"
386, "🧚‍♀️", "woman fairy"
387, "🧛", "vampire"
388, "🧛‍♂️", "man vampire"
389, "🧛‍♀️", "woman vampire"
390, "🧜", "merperson"
391, "🧜‍♂️", "merman"
392, "🧜‍♀️", "mermaid"
393, "🧝", "elf"
394, "🧝‍♂️", "man elf"
395, "🧝‍♀️", "woman elf"
396, "🧞", "genie"
397, "🧞‍♂️", "man genie"
398, "🧞‍♀️", "woman genie"
399, "🧟", "zombie"
400, "🧟‍♂️", "man zombie"
401, "🧟‍♀️", "woman zombie"
402, "🧌", "troll"
403, "💆", "person getting massage"
404, "💆‍♂️", "man getting massage"
405, "💆‍♀️", "woman getting massage"
406, "💇", "person getting haircut"
407, "💇‍♂️", "man getting haircut"
408, "💇‍♀️", "woman getting haircut"
409, "🚶", "person walking"
410, "🚶‍♂️", "man walking"
411, "🚶‍♀️", "woman walking"
412, "🚶‍➡️", "person walking facing right"
413, "🚶‍♀️‍➡️", "woman walking facing right"
414, "🚶‍♂️‍➡️", "man walking facing right"
415, "🧍", "person standing"
416, "🧍‍♂️", "man standing"
417, "🧍‍♀️", "woman standing"
418, "🧎", "person kneeling"
419, "🧎‍♂️", "man kneeling"
420, "🧎‍♀️", "woman kneeling"
421, "🧎‍➡️", "person kneeling facing right"
422, "🧎‍♀️‍➡️", "woman kneeling facing right"
423, "🧎‍♂️‍➡️", "man kneeling facing right"
424, "🧑‍🦯", "person with white cane"
425, "🧑‍🦯‍➡️", "person with white cane facing right"
426, "👨‍🦯", "man with white cane"
427, "👨‍🦯‍➡️", "man with white cane facing right"
428, "👩‍🦯", "woman with white cane"
429, "👩‍🦯‍➡️", "woman with white cane facing right"
430, "🧑‍🦼", "person in motorized wheelchair"
431, "🧑‍🦼‍➡️", "person in motorized wheelchair facing right"
432, "👨‍🦼", "man in motorized wheelchair"
433, "👨‍🦼‍➡️", "man in motorized wheelchair facing right"
434, "👩‍🦼", "woman in motorized wheelchair"
435, "👩‍🦼‍➡️", "woman in motorized wheelchair facing right"
436, "🧑‍🦽", "person in manual wheelchair"
437, "🧑‍🦽‍➡️", "person in manual wheelchair facing right"
438, "👨‍🦽", "man in manual wheelchair"
439, "👨‍🦽‍➡️", "man in manual wheelchair facing right"
440, "👩‍🦽", "woman in manual wheelchair"
441, "👩‍🦽‍➡️", "woman in manual wheelchair facing right"
442, "🏃", "person running"
443, "🏃‍♂️", "man running"
444, "🏃‍♀️", "woman running"
445, "🏃‍➡️", "person running facing right"
446, "🏃‍♀️‍➡️", "woman running facing right"
447, "🏃‍♂️‍➡️", "man running facing right"
448, "💃", "woman dancing"
449, "🕺", "man dancing"
450, "🕴", "person in suit levitating"
451, "👯", "people with bunny ears"
452, "👯‍♂️", "men with bunny ears"
453, "👯‍♀️", "women with bunny ears"
454, "🧖", "person in steamy room"
455, "🧖‍♂️", "man in steamy room"
456, "🧖‍♀️", "woman in steamy room"
457, "🧗", "person climbing"
458, "🧗‍♂️", "man climbing"
459, "🧗‍♀️", "woman climbing"
460, "🤺", "person fencing"
461, "🏇", "horse racing"
462, "⛷", "skier"
463, "🏂", "snowboarder"
464, "🏌", "person golfing"
465, "🏌️‍♂️", "man golfing"
466, "🏌️‍♀️", "woman golfing"
467, "🏄", "person surfing"
